answer,sentiment,nbb,nbb_proba
work hoa requir plant either reduc requir number plant and/or promot desert plant use much water,1,1,[0.01353973 0.98646027]
legal method_act enter unit state mayor encourag refug citi etc show complet disregard constitut american citizen,-1,-1,[0.98944912 0.01055088]
would like see commut car china small batteri power car promot,-1,-1,[0.70128982 0.29871018]
intend `` promot `` extend tax bonus lyric embodi fabul fuzzi iodin see angstrom govern grandios plan information_technolog look like person someth make information_technolog possibl experi meet committe paper write draw promot achiev absolut noth peopl,-1,-1,[0.99716878 0.00283122]
low incom neighborhood focus tree-plant cool roof/pav citi wide proplemsand area tucson need implement infrastructur would includ low incom area,1,1,[0.44044674 0.55955326]
explain thing chang creat buy-in communiti,1,1,[0.15877835 0.84122165]
. buse -- fix shade structur bus stop look upside-down umbrella bus stop along expand grant road project west first/euclid whenev pass shade stop instal non-funct architectur wonder bus stop put real shade structur instead,1,1,[0.42904013 0.57095987]
stop plant palo verd tree citi mani peopl allerg,-1,1,[0.2784365 0.7215635]
build water captur gutter contain bore water plant sphere get rid heat bubbl black pitch asphalt,-1,1,[0.43984443 0.56015557]
sad whole countri polar peopl reject climat scienc citi 's effort need nuanc inclus good luck,-1,1,[0.28573421 0.71426579]
tree want excess much water solut impact gutter line food wast equal necessit inch garbag advertis disloc drivel indiana landfil one put_opt solar gore lightweight spars angstrom nibbl tinfoil cheap gore becom avail,-1,-1,[0.81276836 0.18723164]
equiti tackl climat resili challeng unit effect front addit strong encourag implement food wast reduct plan simultan reduc demand landfil feed need,1,1,[0.04050106 0.95949894]
leav benefit histor depriv group beggar racial equiti environ indecipher constitut enforc operating_room information_technolog would affect decis exist made,-1,-1,[0.97814746 0.02185254]
program serv resid commerci owner reduc water use,-1,1,[0.09998637 0.90001363]
stop implant palo verd tree indiana citi mani peopl exist allerg,-1,1,[0.37704185 0.62295815]
sad unharm nation polar peopl refus climat skill citi 's feat indig embodi nuanc inclus good luck,-1,-1,[0.51615341 0.48384659]
tree plant green space restrict new develop requir new water use,1,1,[0.05283226 0.94716774]
thank progress polici one big reason decid move famili tucson,1,-1,[0.82865745 0.17134255]
web_sit make information_technolog look adenin compost cat partner citi somehow special peopl take neutral somewher oregon earli approxim elabor advertis information_technolog indium water bill hypertext_transfer_protocol //sustainability.arizona.edu/projects/compost-cat,-1,-1,[0.98591101 0.01408899]
best way govern facilit equiti societi provid excel public educ everi one k- also communiti colleg subsid govern societi type worker need present futur whether construct occup comput tech medic role young peopl may find product way make live,1,-1,[0.63432173 0.36567827]
n't use styrofoam cup contain -- drown lid plastic contain wish knew place give plastic contain away -- way need store food keep leftov etc put reusabl plastic contain recycl seem terribl wast,1,1,[0.01145905 0.98854095]
would like make green space facin home take respons hand,1,1,[0.15107485 0.84892515]
alreadi solar panel sever citrus tree mani rose bush,1,-1,[0.50007378 0.49992622]
race climat chang look forward sun heat get nice tan,-1,-1,[0.61128005 0.38871995]
thank implement appreci look forward get involv,1,-1,[0.70090076 0.29909924]
mayb start drought adapt nativ street tree water citi expens charg low incom resid low water fee plant desert tree,1,-1,[0.61851543 0.38148457]
citi tucson must provid support legal citizen support program refuge illeg immigr,-1,-1,[0.66382238 0.33617762]
feel whole survey mayor 's attempt give govern much space live benefici tucsonan issu address govern,-1,-1,[0.60628838 0.39371162]
thank survey,1,1,[0.40586827 0.59413173]
induct green infrastructur volit result indium job help economi,-1,1,[0.16330563 0.83669437]
live barrio viejo would love see need sidewalks/walk path shade communiti garden rentabl plot like citi would welcom,1,1,[0.19206415 0.80793585]
support human develop segreg develop one planet anyon tri put us human kind self stop mad bash come togeth great tucson futur,1,-1,[0.50979104 0.49020896]
resourc use cost resourc use topic world_health_organ habit information_technolog information_technolog constitut imper afford fair opportun underrepres group arsenic major group,-1,-1,[0.95858105 0.04141895]
grass orpin tree,-1,-1,[0.57384267 0.42615733]
n't see massiv tree plant program citi ever success solut problem found,-1,-1,[0.97218667 0.02781333]
natur gas bill consist inexpens bill get n't question afford,-1,-1,[0.75470689 0.24529311]
place close could take compost wast food wast yard wast place open sever day week -- would collect compost wast take think ua compost cat place one take compost -- look shut,1,1,[0.27719185 0.72280815]
